Experiment Summary								
Readout group name	19July2021_MsWTA							
Date	8/4/2021 22:30							
Readout mode	NGS							
Number of Collection Plates	3							
Number Of AOIs	267							
Library Prep Protocol Version								
								
Library Prep Summary								
Library Prep Plate	Collection Plate	Primer Plate	Rows	Area				
DSP-1012996073013-H-B05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	16	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-B06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	17	Full ROI	Full ROI-aoi-001	224266.85	
DSP-1012996073013-H-B07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	18	Full ROI	Full ROI-aoi-001	170872.92	
DSP-1012996073013-H-B08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	19	DNA	DNA-aoi-001	38341.11	
DSP-1012996073013-H-B09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	20	DNA	DNA-aoi-001	59696.83	
DSP-1012996073013-H-B10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	21	DNA	DNA-aoi-001	25845.78	
DSP-1012996073013-H-B11	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	22	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-B12	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	23	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-C01	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	24	NeuN+	NeuN+-aoi-001	14529.11	
DSP-1012996073013-H-C02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	25	Full ROI	Full ROI-aoi-001	64590.54	
DSP-1012996073013-H-C03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	26	Full ROI	Full ROI-aoi-001	70755	
DSP-1012996073013-H-C04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	27	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-C05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	28	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-C06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	29	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-C07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	30	NeuN+	NeuN+-aoi-001	27009.26	
DSP-1012996073013-H-C08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	31	NeuN+	NeuN+-aoi-001	44127.98	
DSP-1012996073013-H-C09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	32	NeuN+	NeuN+-aoi-001	24280.88	
DSP-1012996073013-H-C10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	33	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012996073013-H-C11	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	34	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012996073013-H-C12	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	35	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012996073013-H-D01	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	36	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012996073013-H-D02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	37	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012996073013-H-D03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	38	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012996073013-H-D04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	39	Full ROI	Full ROI-aoi-001	31383.73	
DSP-1012996073013-H-D05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	40	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-D06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	41	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-D07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	42	Full ROI	Full ROI-aoi-001	70624.23	
DSP-1012996073013-H-D08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	43	Full ROI	Full ROI-aoi-001	40918.9	
DSP-1012996073013-H-D09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	44	Full ROI	Full ROI-aoi-001	132457.79	
DSP-1012996073013-H-D10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	45	Full ROI	Full ROI-aoi-001	83569.42	
DSP-1012996073013-H-D11	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	46	Full ROI	Full ROI-aoi-001	101370.76	
DSP-1012996073013-H-D12	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	47	Full ROI	Full ROI-aoi-001	89247.42	
DSP-1012996073013-H-E01	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	48	NeuN+	NeuN+-aoi-001	6455.89	
DSP-1012996073013-H-E02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	48	DNA	DNA-aoi-001	36697.57	
DSP-1012996073013-H-E03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	49	NeuN+	NeuN+-aoi-001	16393.1	
DSP-1012996073013-H-E04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	49	DNA	DNA-aoi-001	42705.2	
DSP-1012996073013-H-E05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	50	NeuN+	NeuN+-aoi-001	15118.2	
DSP-1012996073013-H-E06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	50	DNA	DNA-aoi-001	38861.47	
DSP-1012996073013-H-E07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	51	NeuN+	NeuN+-aoi-001	10280.6	
DSP-1012996073013-H-E08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	51	DNA	DNA-aoi-001	72105.84	
DSP-1012996073013-H-E09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	52	NeuN+	NeuN+-aoi-001	9758.49	
DSP-1012996073013-H-E10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	52	DNA	DNA-aoi-001	50197.16	
DSP-1012996073013-H-E11	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	53	Full ROI	Full ROI-aoi-001	50200.36	
DSP-1012996073013-H-E12	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	54	Full ROI	Full ROI-aoi-001	93935.39	
DSP-1012996073013-H-F01	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	55	Full ROI	Full ROI-aoi-001	77278.51	
DSP-1012996073013-H-F02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	56	Full ROI	Full ROI-aoi-001	129844.35	
DSP-1012996073013-H-F03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	57	Full ROI	Full ROI-aoi-001	88752.01	
DSP-1012996073013-H-F04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	58	NeuN+	NeuN+-aoi-001	7685.87	
DSP-1012996073013-H-F05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	58	DNA	DNA-aoi-001	29426.86	
DSP-1012996073013-H-F06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	59	NeuN+	NeuN+-aoi-001	9305.76	
DSP-1012996073013-H-F07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	59	DNA	DNA-aoi-001	49251.57	
DSP-1012996073013-H-F08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	60	NeuN+	NeuN+-aoi-001	5091.14	
DSP-1012996073013-H-F09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	60	DNA	DNA-aoi-001	38358.06	
DSP-1012996073013-H-F10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	61	NeuN+	NeuN+-aoi-001	5201.93	
DSP-1012996073013-H-F11	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	61	DNA	DNA-aoi-001	76415.25	
DSP-1012996073013-H-F12	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	62	NeuN+	NeuN+-aoi-001	3409.55	
DSP-1012996073013-H-G01	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	62	DNA	DNA-aoi-001	59403.64	
DSP-1012996073013-H-G02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	63	Full ROI	Full ROI-aoi-001	54434.63	
DSP-1012996073013-H-G03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	64	Full ROI	Full ROI-aoi-001	126881.14	
DSP-1012996073013-H-G04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	65	Full ROI	Full ROI-aoi-001	124165.88	
DSP-1012996073013-H-G05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	66	Full ROI	Full ROI-aoi-001	181534.79	
DSP-1012996073013-H-G06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	67	Full ROI	Full ROI-aoi-001	138071.84	
DSP-1012996073013-H-G07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	68	NeuN+	NeuN+-aoi-001	9897.73	
DSP-1012996073013-H-G08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	68	DNA	DNA-aoi-001	21245.73	
DSP-1012996073013-H-G09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	69	NeuN+	NeuN+-aoi-001	9648.5	
DSP-1012996073013-H-G10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	69	DNA	DNA-aoi-001	38832.53	
DSP-1012996073013-H-G11	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	70	NeuN+	NeuN+-aoi-001	8978.68	
DSP-1012996073013-H-G12	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	70	DNA	DNA-aoi-001	23822.88	
DSP-1012996073013-H-H01	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	71	NeuN+	NeuN+-aoi-001	11111.57	
DSP-1012996073013-H-H02	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	71	DNA	DNA-aoi-001	59399.81	
DSP-1012996073013-H-H03	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	72	NeuN+	NeuN+-aoi-001	7311.63	
DSP-1012996073013-H-H04	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	72	DNA	DNA-aoi-001	37954.88	
DSP-1012996073013-H-H05	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	73	NeuN+	NeuN+-aoi-001	5944.97	
DSP-1012996073013-H-H06	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	73	DNA	DNA-aoi-001	34274.05	
DSP-1012996073013-H-H07	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	74	NeuN+	NeuN+-aoi-001	5569.45	
DSP-1012996073013-H-H08	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	74	DNA	DNA-aoi-001	31895.45	
DSP-1012996073013-H-H09	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	75	NeuN+	NeuN+-aoi-001	6950.66	
DSP-1012996073013-H-H10	4	4	(v1.0) TAP Mouse Whole Transcriptome Atlas	75	DNA	DNA-aoi-001	29065.25	
